"","s0"
"PER3BCRY1GGGG",0
"PER3BCRY1AACC",0
"PER3BCRY1AAGG",0
"PER3BCRY1AGCC",0
"PER3BCRY1AGGG",0
"PER3BCRY1AGCG",0
"PER3BCRY2GGGG",0
"PER3BCRY2GGAA",0
"PER3BCRY2AAAG",0
"PER3BCRY2AGGG",0
"PER3BCRY2AGAA",0
"PER3BCRY2AGAG",0
"PER3BVNTRGGBB",0
"PER3BVNTRGGAB",0
"PER3BVNTRAAAA",0
"PER3BVNTRAGAA",8.41645072655832e-17
"PER3BVNTRAGAB",0
"PER3CCLOCK3111GGTT",0
"PER3CCLOCK3111GGCC",0
"PER3CCLOCK3111GGTC",0
"PER3CCLOCK3111TTCC",-0.120748600809241
"PER3CCLOCK3111TTTC",0
"PER3CCLOCK3111GTTT",0
"PER3CCLOCK3111GTCC",0
"PER3CCLOCK3111GTTC",0
"PER3CCRY1GGCC",-0.585301057663637
"PER3CCRY1GGGG",0
"PER3CCRY1GGCG",0
"PER3CCRY1TTCC",0
"PER3CCRY1TTGG",0
"PER3CCRY1GTCC",0
"PER3CCRY1GTGG",0
"PER3CCRY1GTCG",0
"PER3CCRY2GGGG",0
"PER3CCRY2GGAA",0
"PER3CCRY2GGAG",0
"PER3CCRY2TTGG",0
"PER3CCRY2TTAA",0
"PER3CCRY2GTGG",0.124225769964645
"PER3CCRY2GTAA",-0.0821819153383466
"PER3CCRY2GTAG",0
"PER3CVNTRGGAA",0
"PER3CVNTRGGBB",0
"PER3CVNTRGGAB",0
"PER3CVNTRTTAB",0
"PER3CVNTRGTAA",0
"PER3CVNTRGTBB",0
"PER3CVNTRGTAB",0
"CLOCK3111CRY1TTCC",0
"CLOCK3111CRY1TTGG",0
"CLOCK3111CRY1CCCC",0
"CLOCK3111CRY1CCGG",-0.0269732200319125
"CLOCK3111CRY1CCCG",0
"CLOCK3111CRY1TCCC",0
"CLOCK3111CRY1TCGG",0
"CLOCK3111CRY1TCCG",0
"CLOCK3111CRY2TTGG",0
"CLOCK3111CRY2TTAA",0
"CLOCK3111CRY2CCGG",-4.20822536327916e-16
"CLOCK3111CRY2CCAA",0
"CLOCK3111CRY2CCAG",0
"CLOCK3111CRY2TCGG",0
"CLOCK3111CRY2TCAA",0
"CLOCK3111CRY2TCAG",0
"CLOCK3111VNTRTTBB",0
"CLOCK3111VNTRTTAB",0
"CLOCK3111VNTRCCAA",0
"CLOCK3111VNTRCCAB",0
"CLOCK3111VNTRTCAA",0
"CLOCK3111VNTRTCBB",0
"CLOCK3111VNTRTCAB",0
"CRY1CRY2CCGG",0
"CRY1CRY2CCAA",0
"CRY1CRY2CCAG",0
"CRY1CRY2GGGG",0
"CRY1CRY2GGAA",0
"CRY1CRY2GGAG",0
"CRY1CRY2CGGG",0
"CRY1CRY2CGAA",-0.206267430380973
"CRY1VNTRCCAA",0
"CRY1VNTRCCBB",0
"CRY1VNTRCCAB",0
"CRY1VNTRGGAA",0
"CRY1VNTRGGBB",0
"CRY1VNTRGGAB",0.0303331022241081
"CRY1VNTRCGBB",0.170901650072465
"CRY1VNTRCGAB",0
"CRY2VNTRGGAA",0
"CRY2VNTRGGBB",0
"CRY2VNTRGGAB",0.0378331368939494
"CRY2VNTRAAAA",0
"CRY2VNTRAABB",0
"CRY2VNTRAAAB",-0.184428537854508
"CRY2VNTRAGBB",0
"CRY2VNTRAGAB",0
"AGE",-6.8683022743968
"SOCIO",0
